,#,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop,Population,Region,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
0,1,USA,11226218,251256,6891031,4083931,20415,33842,757,166751484,502676,331727464,North America,30,1320,2
1,2,India,8814902,129674,8205728,479500,8944,6364,94,124836819,90132,1385049027,Asia,157,10681,11
2,3,Brazil,5848959,165673,5291511,391775,8318,27444,777,21900000,102758,213122892,South America,36,1286,10
3,4,France,1954599,44246,139140,1771213,4871,29920,677,18792403,287664,65327655,Europe,33,1476,3
4,5,Russia,1925825,33186,1439985,452654,2300,13194,227,68500000,469313,145957963,Europe,76,4398,2
5,6,Spain,1492608,40769,N/A,N/A,3125,31920,872,19394289,414748,46761579,Europe,31,1147,2
6,7,UK,1344356,51766,N/A,N/A,1355,19764,761,37918526,557467,68019263,Europe,51,1314,2
7,8,Argentina,1304846,35307,1119366,150173,4346,28773,779,3434801,75740,45350087,South America,35,1284,13
8,9,Colombia,1191004,33829,1097576,59599,2376,23314,662,5708597,111748,51084356,South America,43,1510,9
9,10,Italy,1144552,44683,411434,688435,3306,18941,739,18683111,309178,60428372,Europe,53,1352,3
10,11,Mexico,1003253,98259,745361,159633,2941,7751,759,2604659,20123,129436043,North America,129,1317,50
11,12,Peru,934899,35177,861017,38705,991,28209,1061,4784978,144379,33141844,South America,35,942,7
12,13,Germany,788899,12619,493200,283080,3299,9405,150,25010416,298154,83884266,Europe,106,6647,3
13,14,Iran,749525,41034,552747,155744,5642,8882,486,5464191,64748,84391349,Asia,113,2057,15
14,15,South Africa,749182,20206,693261,35715,546,12573,339,5110384,85765,59585858,Africa,80,2949,12
15,16,Poland,691118,10045,282215,398858,2126,18269,266,5563521,147062,37831020,Europe,55,3766,7
16,17,Ukraine,535857,9603,241444,284810,177,12281,220,3876966,88851,43634448,Europe,81,4544,11
17,18,Belgium,531280,14303,32706,484271,1423,45767,1232,5458422,470210,11608488,Europe,22,812,2
18,19,Chile,529676,14777,505243,9656,731,27620,771,4781863,249350,19177297,South America,36,1298,4
19,20,Iraq,516915,11623,444226,61066,385,12747,287,3111672,76731,40553232,Asia,78,3489,13
20,21,Indonesia,463007,15148,388094,59765,,1686,55,5022627,18291,274598140,Asia,593,18128,55
21,22,Czechia,458229,6058,322383,129788,1110,42759,565,2759814,257531,10716431,Europe,23,1769,4
22,23,Netherlands,442458,8443,N/A,N/A,615,25801,492,3711716,216438,17149084,Europe,39,2031,5
